node_id,node_name,node_group,weight,author-1,author-2
154,"Yao, Junjie",author,4,154,154
155,"Yao, Lina",author,2,155,155
156,"Yu, Jeffrey Xu",author,7,156,156
157,"Yu, Kaiqiang",author,2,157,157
158,"Yu, Michael",author,1,158,158
159,"Yu, Weiren",author,2,159,159
160,"Yu, Zheng",author,2,160,160
161,"Yuan, Long",author,18,161,161
162,"Yuan, Ye",author,1,162,162
163,"Zeng, Weixin",author,1,163,163
164,"Zhane, Wenjie",author,1,164,164
165,"Zhang, Chen",author,5,165,165
166,"Zhang, Chengyuan",author,2,166,166
167,"Zhang, Chenyi",author,1,167,167
168,"Zhang, Fan",author,18,168,168
169,"Zhang, Junjie",author,1,169,169
170,"Zhang, Liqing",author,2,170,170
171,"Zhang, Mengqi",author,1,171,171
172,"Zhang, Shuai",author,1,172,172
173,"Zhang, Wenjie",author,86,173,173
174,"Zhang, Xiang",author,1,174,174
175,"Zhang, Xiao",author,1,175,175
176,"Zhang, Yikai",author,1,176,176
177,"Zhang, Ying",author,89,177,177
178,"Zhang, Yu",author,1,178,178
179,"Zhanq, Haida",author,1,179,179
180,"Zhanq, Weniie",author,1,180,180
181,"Zhao, Xiang",author,4,181,181
182,"Zhao, Yiwei",author,1,182,182
183,"Zheng, Libin",author,1,183,183
184,"Zhou, Alexander",author,2,184,184
185,"Zhou, Jingren",author,8,185,185
186,"Zhou, Xiaoling",author,1,186,186
187,"Zhou, Yiping",author,2,187,187
188,"Zhou, Zhongxin",author,2,188,188
189,"Zhu, Gaoping",author,2,189,189
190,"Zhu, Ke",author,2,190,190
191,"Zhu, Qing",author,1,191,191
192,"Zhu, Weijie",author,2,192,192
193,"Zhu, Xiaochen",author,1,193,193
194,"liu, Wei",author,1,194,194
