node_id,node_name,node_group,weight,author-1,author-2
155,"Zhanq, Weniie",author,1,155,155
156,"Zhao, Dongyan",author,2,156,156
157,"Zhao, Xiang",author,14,157,157
158,"Zhou, Alexander",author,2,158,158
159,"Zhou, Aoying",author,1,159,159
160,"Zhou, Jingren",author,1,160,160
161,"Zhou, Xiaofang",author,1,161,161
162,"Zhou, Xiaoling",author,1,162,162
163,"Zhou, Yiping",author,2,163,163
164,"Zhu, Gaoping",author,6,164,164
165,"Zhu, Ke",author,5,165,165
166,"Zhu, Qing",author,1,166,166
167,"Zhu, Weijie",author,1,167,167
168,"Zhu, Xiaochen",author,3,168,168
169,"Zhu, Yuanyuan",author,2,169,169
170,"Zou, Lei",author,2,170,170
